WELL_BORE_CODE,DATEPRD,oil,gas,wat,hrs
NO 15/9-F-1 C,2014-04-30,11142.47,1597936.65,0.0,227.5
NO 15/9-F-1 C,2014-05-31,24901.95,3496229.65,783.48,733.83334
NO 15/9-F-1 C,2014-06-30,19617.76,2886661.69,2068.48,705.91666
NO 15/9-F-1 C,2014-07-31,14563.68,2171518.99,6089.51,718.41666
NO 15/9-F-1 C,2014-08-31,6970.43,1048190.8,4529.75,432.99166
NO 15/9-F-1 C,2014-09-30,9168.43,1414099.99,8317.59,630.3
NO 15/9-F-1 C,2014-10-31,9468.06,1462063.99,10364.869999999999,745.0
NO 15/9-F-1 C,2014-11-30,6710.33,1044188.2999999999,7234.24,579.775
NO 15/9-F-1 C,2014-12-31,120.29,25857.08,183.44,27.5
NO 15/9-F-1 C,2015-01-31,10875.53,1604934.6,6850.8,479.91667
NO 15/9-F-1 C,2015-02-28,9586.64,1439453.67,10744.99,437.41667
NO 15/9-F-1 C,2015-03-31,5879.22,856681.45,11607.44,320.20833
NO 15/9-F-1 C,2015-04-30,3924.1800000000003,566709.81,9815.16,262.83333
NO 15/9-F-1 C,2015-05-31,3832.69,559060.34,6167.47,181.08333
NO 15/9-F-1 C,2015-06-30,6344.5,925337.48,14548.69,466.44986
NO 15/9-F-1 C,2015-07-31,2093.95,315178.96,8454.26,241.66667
NO 15/9-F-1 C,2015-08-31,2871.02,427692.58999999997,5334.03,147.79167
NO 15/9-F-1 C,2015-09-30,6460.27,961548.42,14767.12,384.4668
NO 15/9-F-1 C,2015-10-31,4085.8,631372.5599999999,13538.71,367.79986
NO 15/9-F-1 C,2015-11-30,3332.05,508384.43,11682.31,301.25833
NO 15/9-F-1 C,2015-12-31,2949.42,454911.3,6231.55,197.65833
NO 15/9-F-1 C,2016-01-31,2981.44,471675.96,14036.28,387.68334
NO 15/9-F-1 C,2016-02-29,4718.03,742339.77,15945.73,484.48332
NO 15/9-F-1 C,2016-03-31,2917.5,476830.19,13410.89,356.75833
NO 15/9-F-1 C,2016-04-30,1671.69,274213.17,4441.13,140.82499
NO 15/9-F-11 H,2013-07-31,3923.08,590504.52,0.0,112.91514
NO 15/9-F-11 H,2013-08-31,25496.07,3871942.31,520.01,586.71667
NO 15/9-F-11 H,2013-09-30,23775.08,3661574.0,1573.61,538.91667
NO 15/9-F-11 H,2013-10-31,34114.5,5272724.29,1926.53,678.49991
NO 15/9-F-11 H,2013-11-30,35386.35,5413486.14,3791.2200000000003,712.0
NO 15/9-F-11 H,2013-12-31,33405.75,5190658.82,4963.26,662.08335
NO 15/9-F-11 H,2014-01-31,34552.37,5193353.22,4343.49,668.08333
NO 15/9-F-11 H,2014-02-28,28189.97,4255282.68,2841.37,562.66666
NO 15/9-F-11 H,2014-03-31,33290.79,5039849.75,3692.22,655.49999
NO 15/9-F-11 H,2014-04-30,35428.73,5301958.8,4124.45,691.51685
NO 15/9-F-11 H,2014-05-31,34831.88,4902619.28,5017.47,731.5
NO 15/9-F-11 H,2014-06-30,33898.64,4990684.5200000005,6083.59,709.33333
NO 15/9-F-11 H,2014-07-31,33760.33,5035917.29,6800.85,742.66667
NO 15/9-F-11 H,2014-08-31,26037.54,4033770.42,6076.52,599.11669
NO 15/9-F-11 H,2014-09-30,33221.64,5220328.68,8349.05,690.66667
NO 15/9-F-11 H,2014-10-31,33851.72,5237208.3,10287.9,745.0
NO 15/9-F-11 H,2014-11-30,26611.5,4153116.29,9403.58,692.39181
NO 15/9-F-11 H,2014-12-31,8547.92,1413111.6400000001,3079.0499999999997,733.8582
NO 15/9-F-11 H,2015-01-31,28535.23,4208205.45,13399.58,708.33333
NO 15/9-F-11 H,2015-02-28,25347.22,3836073.69,14061.01,632.16667
NO 15/9-F-11 H,2015-03-31,44316.19,6516700.49,19387.3,743.83333
NO 15/9-F-11 H,2015-04-30,54555.76,7956467.49,23839.72,720.0
NO 15/9-F-11 H,2015-05-31,55029.22,8027510.44,24425.53,744.0
NO 15/9-F-11 H,2015-06-30,48231.1,7065851.59,22891.62,718.81667
NO 15/9-F-11 H,2015-07-31,43784.66,6508853.29,36195.93,744.0
NO 15/9-F-11 H,2015-08-31,31498.15,4769902.18,31870.44,632.01681
NO 15/9-F-11 H,2015-09-30,31424.59,4748109.86,37411.85,718.72458
NO 15/9-F-11 H,2015-10-31,29724.78,4501570.02,38022.56,626.89181
NO 15/9-F-11 H,2015-11-30,36410.23,5558573.35,57058.61,671.3081999999999
NO 15/9-F-11 H,2015-12-31,35933.9,5504665.46,62976.28,740.16667
NO 15/9-F-11 H,2016-01-31,31603.26,4949940.78,67980.66,736.49999
NO 15/9-F-11 H,2016-02-29,25954.57,4093286.56,66610.49,695.58333
NO 15/9-F-11 H,2016-03-31,25023.66,4032038.1,76636.95999999999,743.0
NO 15/9-F-11 H,2016-04-30,13429.0,2194427.05,57931.66,579.08332
NO 15/9-F-11 H,2016-05-31,15528.75,2450713.77,73445.23,744.0
NO 15/9-F-11 H,2016-06-30,14590.61,2349131.22,71699.35,718.41667
NO 15/9-F-11 H,2016-07-31,14384.88,2309447.4699999997,77084.72,740.00101
NO 15/9-F-11 H,2016-08-31,14583.73,2341371.55,87762.19,743.66667
NO 15/9-F-11 H,2016-09-30,8609.18,1458816.35,46779.39,392.27514
NO 15/9-F-12 H,2008-02-29,49091.06,7068009.29,412.61,406.62499
NO 15/9-F-12 H,2008-03-31,83361.26,12191170.91,27.42,655.10834
NO 15/9-F-12 H,2008-04-30,74532.45,11506440.74,496.24,613.64666
NO 15/9-F-12 H,2008-05-31,125478.56,19091871.52,16280.12,716.19167
NO 15/9-F-12 H,2008-06-30,143786.85,21512333.93,474.37,675.91669
NO 15/9-F-12 H,2008-07-31,114994.61,17116441.78,290.02,710.74165
NO 15/9-F-12 H,2008-08-31,97822.46,14143008.24,354.18,672.83334
NO 15/9-F-12 H,2008-09-30,77666.95,11185944.41,188.39,567.97499
NO 15/9-F-12 H,2008-10-31,94357.23,13430833.95,624.05,737.50001
NO 15/9-F-12 H,2008-11-30,145915.56,20837122.26,2390.31,712.66667
NO 15/9-F-12 H,2008-12-31,166439.67,24106361.74,1003.31,744.0
NO 15/9-F-12 H,2009-01-31,153677.16,22255224.02,389.76,740.83332
NO 15/9-F-12 H,2009-02-28,121905.01,17427051.54,0.0,656.30834
NO 15/9-F-12 H,2009-03-31,92958.71,13123546.99,0.0,506.33334
NO 15/9-F-12 H,2009-04-30,150955.68,20931107.81,1246.29,719.16667
NO 15/9-F-12 H,2009-05-31,141039.01,19366853.43,3106.49,695.16666
NO 15/9-F-12 H,2009-06-30,132429.71,17787475.65,2658.63,715.31666
NO 15/9-F-12 H,2009-07-31,106105.25,14721967.2,3289.44,742.16666
NO 15/9-F-12 H,2009-08-31,112414.27,15676349.96,5024.01,589.075
NO 15/9-F-12 H,2009-09-30,90098.89,12553421.69,2235.08,493.25
